"index","status","domain","target_name","area","opportunity_score","confidence","decision","commercial_strength","next_product","credits_consumed","real_payment_executed","external_contact_executed"
"1","200","clinic3.it","Clinic 3","Milano","81","0.88","buy_deep_analysis","strong","deep_analysis","1","False","False"
"2","200","studiorossidentale.it","Studio Rossi Dentale","Milano","55","0.88","watchlist","weak","none","1","False","False"
"3","200","odontoiatriabrianza.it","Odontoiatria Brianza","Monza","66","0.66","nurture","medium","nurture_signal","1","False","False"
"4","200","dentistalodi.it","Dentista Lodi","Lodi","50","0.53","watchlist","weak","none","1","False","False"
"5","200","clinicaoralemilano.it","Clinica Orale Milano","Milano","74","0.52","nurture","medium","nurture_signal","1","False","False"
"6","200","sorrisobergamo.it","Sorriso Bergamo","Bergamo","62","0.56","watchlist","weak","none","1","False","False"
"7","200","implantologiacomo.it","Implantologia Como","Como","78","0.52","nurture","medium","nurture_signal","1","False","False"
"8","200","studiodentalepavia.it","Studio Dentale Pavia","Pavia","76","0.54","nurture","medium","nurture_signal","1","False","False"
"9","200","ortodonziabrescia.it","Ortodonzia Brescia","Brescia","50","0.57","watchlist","weak","none","1","False","False"
"10","200","dentistavarese.it","Dentista Varese","Varese","68","0.88","nurture","medium","nurture_signal","1","False","False"
"11","200","centrodentalemantova.it","Centro Dentale Mantova","Mantova","54","0.82","watchlist","weak","none","1","False","False"
"12","200","clinicadentalemagenta.it","Clinica Dentale Magenta","Milano","61","0.58","watchlist","weak","none","1","False","False"
"13","200","studiobianchiortodonzia.it","Studio Bianchi Ortodonzia","Brescia","77","0.88","buy_deep_analysis","medium","deep_analysis","1","False","False"
"14","200","sorrisocremona.it","Sorriso Cremona","Cremona","66","0.68","nurture","medium","nurture_signal","1","False","False"
"15","200","dentistalegnano.it","Dentista Legnano","Milano","64","0.52","watchlist","weak","none","1","False","False"
"16","200","implantologiamonza.it","Implantologia Monza","Monza","61","0.58","watchlist","weak","none","1","False","False"
"17","200","centroodontoiatricosondrio.it","Centro Odontoiatrico Sondrio","Sondrio","53","0.69","watchlist","weak","none","1","False","False"
"18","200","studiopadentale.it","Studio PA Dentale","Pavia","80","0.56","nurture","medium","nurture_signal","1","False","False"
"19","200","clinicadentalegarda.it","Clinica Dentale Garda","Brescia","55","0.35","needs_verification","weak","verification","1","False","False"
"20","200","odontoiatriamartesana.it","Odontoiatria Martesana","Milano","65","0.81","nurture","medium","nurture_signal","1","False","False"
"21","200","studiodentalelecco.it","Studio Dentale Lecco","Lecco","75","0.67","buy_deep_analysis","medium","deep_analysis","1","False","False"
"22","200","centroimplantarevarese.it","Centro Implantare Varese","Varese","60","0.77","watchlist","weak","none","1","False","False"
"23","200","ortodonziacrema.it","Ortodonzia Crema","Cremona","79","0.35","needs_verification","weak","verification","1","False","False"
"24","200","dentistacantu.it","Dentista Cantu","Como","59","0.58","watchlist","weak","none","1","False","False"
"25","200","clinicaodontoiatricarho.it","Clinica Odontoiatrica Rho","Milano","50","0.84","watchlist","weak","none","1","False","False"
