"index","event_id","request_id","status","domain","opportunity_score","confidence","decision","inferred_next_product","credits_consumed"
"1","evt_0020","bounded-score-volume-probe-20260605-113755-score-1","valid_output","clinic3.it","81","0.88","buy_deep_analysis","deep_analysis","1"
"2","evt_0021","bounded-score-volume-probe-20260605-113755-score-2","valid_output","studiorossidentale.it","55","0.88","watchlist","","1"
"3","evt_0022","bounded-score-volume-probe-20260605-113755-score-3","valid_output","odontoiatriabrianza.it","66","0.66","nurture","nurture_signal","1"
"4","evt_0023","bounded-score-volume-probe-20260605-113755-score-4","valid_output","dentistalodi.it","50","0.53","watchlist","","1"
"5","evt_0024","bounded-score-volume-probe-20260605-113755-score-5","valid_output","clinicaoralemilano.it","74","0.52","nurture","nurture_signal","1"
"6","evt_0025","bounded-score-volume-probe-20260605-113755-score-6","valid_output","sorrisobergamo.it","62","0.56","watchlist","","1"
"7","evt_0026","bounded-score-volume-probe-20260605-113755-score-7","valid_output","implantologiacomo.it","78","0.52","nurture","nurture_signal","1"
"8","evt_0027","bounded-score-volume-probe-20260605-113755-score-8","valid_output","studiodentalepavia.it","76","0.54","nurture","nurture_signal","1"
"9","evt_0028","bounded-score-volume-probe-20260605-113755-score-9","valid_output","ortodonziabrescia.it","50","0.57","watchlist","","1"
"10","evt_0029","bounded-score-volume-probe-20260605-113755-score-10","valid_output","dentistavarese.it","68","0.88","nurture","nurture_signal","1"
