decision,domain,index,next_purchase,order_intent_id,purchase_status,score,spent_eur
buy_deep_analysis,quinta-essenza.com,1,deep_analysis,ord_f3b845ab,purchased,81,3.089
buy_deep_analysis,clinic3.it,2,deep_analysis,ord_13613d43,purchased,81,6.178
watchlist,studio-odontoiatrico-demo.it,3,,,not_recommended,61,6.277
buy_deep_analysis,avalonbenessere.it,4,deep_analysis,ord_272098d5,purchased,80,9.366
buy_deep_analysis,centromedico-besana.it,5,deep_analysis,ord_56b49c60,purchased,81,12.455
needs_verification,vistavisiongroup.com,6,verification,ord_86a05bae,purchased,63,13.044
needs_verification,bianchiosteopata.it,7,verification,ord_8bf3e0fd,purchased,63,13.633
needs_verification,example-dentist-milano.it,8,verification,ord_2c3d5e89,purchased,75,14.222
nurture,demo-clinic-lombardia.it,9,nurture_signal,ord_42624af1,purchased,70,14.611
nurture,studio-legale-demo.it,10,nurture_signal,ord_570d330c,purchased,68,15.0
needs_verification,cogebra.com,11,verification,ord_424b9055,purchased,37,15.589
needs_verification,valcavallinaimmobili.it,12,verification,ord_1944ff49,purchased,64,16.178
needs_verification,agenzia-immobiliare-demo.it,13,verification,ord_688714fc,purchased,78,16.767
buy_deep_analysis,centromedicosanpiox.it,14,deep_analysis,ord_27c802bd,purchased,76,19.856
needs_verification,studiofamilydental.it,15,verification,ord_1acfe5ce,purchased,76,20.445
buy_deep_analysis,quinta-essenza.com,16,deep_analysis,ord_2b8556f3,purchased,81,23.534
buy_deep_analysis,clinic3.it,17,deep_analysis,ord_5c04b3e1,purchased,81,26.623
watchlist,studio-odontoiatrico-demo.it,18,,,not_recommended,61,26.722
buy_deep_analysis,avalonbenessere.it,19,deep_analysis,ord_df76fe17,purchased,80,29.811
buy_deep_analysis,centromedico-besana.it,20,deep_analysis,ord_efe68363,purchased,81,32.9
