decision,domain,index,next_purchase,order_intent_id,purchase_status,score,spent_eur
buy_deep_analysis,quinta-essenza.com,1,deep_analysis,ord_da25e039,purchased,81,3.089
buy_deep_analysis,clinic3.it,2,deep_analysis,ord_7c89bc91,purchased,81,6.178
watchlist,studio-odontoiatrico-demo.it,3,,,not_recommended,61,6.277
buy_deep_analysis,avalonbenessere.it,4,deep_analysis,ord_d8400d9f,purchased,80,9.366
buy_deep_analysis,centromedico-besana.it,5,deep_analysis,ord_ce734ace,purchased,81,12.455
needs_verification,vistavisiongroup.com,6,verification,ord_a3053250,purchased,63,13.044
needs_verification,bianchiosteopata.it,7,verification,ord_4630bb8f,purchased,63,13.633
needs_verification,example-dentist-milano.it,8,verification,ord_c4dc5ac7,purchased,75,14.222
nurture,demo-clinic-lombardia.it,9,nurture_signal,ord_3350f67,purchased,70,14.611
nurture,studio-legale-demo.it,10,nurture_signal,ord_2c8ca92,purchased,68,15.0
needs_verification,cogebra.com,11,verification,ord_522d9137,purchased,37,15.589
needs_verification,valcavallinaimmobili.it,12,verification,ord_d6d45c33,purchased,64,16.178
needs_verification,agenzia-immobiliare-demo.it,13,verification,ord_915bb432,purchased,78,16.767
buy_deep_analysis,centromedicosanpiox.it,14,deep_analysis,ord_5e3296c3,purchased,76,19.856
needs_verification,studiofamilydental.it,15,verification,ord_f09856dc,purchased,76,20.445
buy_deep_analysis,quinta-essenza.com,16,deep_analysis,ord_5795a8fd,purchased,81,23.534
buy_deep_analysis,clinic3.it,17,deep_analysis,ord_e6790eef,purchased,81,26.623
watchlist,studio-odontoiatrico-demo.it,18,,,not_recommended,61,26.722
buy_deep_analysis,avalonbenessere.it,19,deep_analysis,ord_13e043e9,purchased,80,29.811
buy_deep_analysis,centromedico-besana.it,20,deep_analysis,ord_43601a95,purchased,81,32.9
