action_pack_gate_reason,confidence,decision,delivery_status,domain,index,next_product,order_intent_id,priority,product_code,quality_review_status,score,score_request_id,sector_hint,source_deep_order_intent_id,stage
,0.79,buy_deep_analysis,,quinta-essenza.com,1,deep_analysis,,high,,sector_quality_passed,81,natural-action-pack-20260602_110914-1780391354-score-001,medicina estetica,,score
,0.79,buy_deep_analysis,deep_analysis_ready,quinta-essenza.com,1,deep_analysis,ord_6de1c96f,high,deep_analysis,sector_quality_passed,81,natural-action-pack-20260602_110914-1780391354-score-001,medicina estetica,,purchase
"score, confidence, quality and deep analysis gates passed",0.79,buy_deep_analysis,action_pack_ready,quinta-essenza.com,1,deep_analysis,ord_2236f17f,high,action_pack,sector_quality_passed,81,natural-action-pack-20260602_110914-1780391354-score-001,medicina estetica,ord_6de1c96f,purchase
,0.79,buy_deep_analysis,,clinic3.it,2,deep_analysis,,high,,not_applicable,81,natural-action-pack-20260602_110914-1780391354-score-002,dentist,,score
,0.79,buy_deep_analysis,deep_analysis_ready,clinic3.it,2,deep_analysis,ord_a1d02f17,high,deep_analysis,not_applicable,81,natural-action-pack-20260602_110914-1780391354-score-002,dentist,,purchase
"score, confidence, quality and deep analysis gates passed",0.79,buy_deep_analysis,action_pack_ready,clinic3.it,2,deep_analysis,ord_956b5e2b,high,action_pack,not_applicable,81,natural-action-pack-20260602_110914-1780391354-score-002,dentist,ord_a1d02f17,purchase
,0.62,watchlist,,studio-odontoiatrico-demo.it,3,,,medium,,not_applicable,61,natural-action-pack-20260602_110914-1780391354-score-003,dentist,,score
,0.68,buy_deep_analysis,,avalonbenessere.it,4,deep_analysis,,high,,sector_quality_passed,80,natural-action-pack-20260602_110914-1780391354-score-004,medicina estetica,,score
,0.68,buy_deep_analysis,deep_analysis_ready,avalonbenessere.it,4,deep_analysis,ord_9bf96029,high,deep_analysis,sector_quality_passed,80,natural-action-pack-20260602_110914-1780391354-score-004,medicina estetica,,purchase
confidence below natural action threshold 0.70,0.68,buy_deep_analysis,,avalonbenessere.it,4,deep_analysis,,high,action_pack,sector_quality_passed,80,natural-action-pack-20260602_110914-1780391354-score-004,medicina estetica,ord_9bf96029,action_pack_not_bought
,0.66,buy_deep_analysis,,centromedico-besana.it,5,deep_analysis,,high,,not_applicable,81,natural-action-pack-20260602_110914-1780391354-score-005,dentist,,score
,0.66,buy_deep_analysis,deep_analysis_ready,centromedico-besana.it,5,deep_analysis,ord_1e3f87d4,high,deep_analysis,not_applicable,81,natural-action-pack-20260602_110914-1780391354-score-005,dentist,,purchase
confidence below natural action threshold 0.70,0.66,buy_deep_analysis,,centromedico-besana.it,5,deep_analysis,,high,action_pack,not_applicable,81,natural-action-pack-20260602_110914-1780391354-score-005,dentist,ord_1e3f87d4,action_pack_not_bought
,0.49,needs_verification,,vistavisiongroup.com,6,verification,,medium,,sector_mismatch_needs_verification,63,natural-action-pack-20260602_110914-1780391354-score-006,medicina estetica,,score
