"index","domain","score","confidence","decision","expected_decision","decision_matches_rule","next_product","expected_next_product","next_product_matches_rule","commercial_strength","commercial_verdict","commercial_review_needed","risk_note"
"1","clinic3.it","81","0.88","buy_deep_analysis","buy_deep_analysis","True","deep_analysis","deep_analysis","True","strong","commercially_coherent_deep_analysis","False","none"
"2","studiorossidentale.it","55","0.88","watchlist","watchlist","True","none","none","True","weak","commercially_coherent_watchlist","False","high_confidence_low_score_watchlist_ok"
"3","odontoiatriabrianza.it","66","0.66","nurture","nurture","True","nurture_signal","nurture_signal","True","medium","commercially_coherent_nurture","False","none"
"4","dentistalodi.it","50","0.53","watchlist","watchlist","True","none","none","True","weak","commercially_coherent_watchlist","False","none"
"5","clinicaoralemilano.it","74","0.52","nurture","nurture","True","nurture_signal","nurture_signal","True","medium","commercially_coherent_nurture","False","low_confidence_nurture_watch"
"6","sorrisobergamo.it","62","0.56","watchlist","watchlist","True","none","none","True","weak","commercially_coherent_watchlist","False","near_threshold_watchlist_ok"
"7","implantologiacomo.it","78","0.52","nurture","nurture","True","nurture_signal","nurture_signal","True","medium","commercially_coherent_nurture","False","low_confidence_nurture_watch"
"8","studiodentalepavia.it","76","0.54","nurture","nurture","True","nurture_signal","nurture_signal","True","medium","commercially_coherent_nurture","False","low_confidence_nurture_watch"
"9","ortodonziabrescia.it","50","0.57","watchlist","watchlist","True","none","none","True","weak","commercially_coherent_watchlist","False","none"
"10","dentistavarese.it","68","0.88","nurture","nurture","True","nurture_signal","nurture_signal","True","medium","commercially_coherent_nurture","False","none"
"11","centrodentalemantova.it","54","0.82","watchlist","watchlist","True","none","none","True","weak","commercially_coherent_watchlist","False","high_confidence_low_score_watchlist_ok"
"12","clinicadentalemagenta.it","61","0.58","watchlist","watchlist","True","none","none","True","weak","commercially_coherent_watchlist","False","near_threshold_watchlist_ok"
"13","studiobianchiortodonzia.it","77","0.88","buy_deep_analysis","buy_deep_analysis","True","deep_analysis","deep_analysis","True","medium","commercially_coherent_deep_analysis","False","none"
"14","sorrisocremona.it","66","0.68","nurture","nurture","True","nurture_signal","nurture_signal","True","medium","commercially_coherent_nurture","False","none"
"15","dentistalegnano.it","64","0.52","watchlist","watchlist","True","none","none","True","weak","commercially_coherent_watchlist","False","near_threshold_watchlist_ok"
"16","implantologiamonza.it","61","0.58","watchlist","watchlist","True","none","none","True","weak","commercially_coherent_watchlist","False","near_threshold_watchlist_ok"
"17","centroodontoiatricosondrio.it","53","0.69","watchlist","watchlist","True","none","none","True","weak","commercially_coherent_watchlist","False","none"
"18","studiopadentale.it","80","0.56","nurture","nurture","True","nurture_signal","nurture_signal","True","medium","commercially_coherent_nurture","False","low_confidence_nurture_watch"
"19","clinicadentalegarda.it","55","0.35","needs_verification","needs_verification","True","verification","verification","True","weak","commercially_coherent_verification","False","none"
"20","odontoiatriamartesana.it","65","0.81","nurture","nurture","True","nurture_signal","nurture_signal","True","medium","commercially_coherent_nurture","False","none"
"21","studiodentalelecco.it","75","0.67","buy_deep_analysis","buy_deep_analysis","True","deep_analysis","deep_analysis","True","medium","commercially_coherent_deep_analysis","False","deep_analysis_allowed_but_watch_confidence"
"22","centroimplantarevarese.it","60","0.77","watchlist","watchlist","True","none","none","True","weak","commercially_coherent_watchlist","False","near_threshold_watchlist_ok"
"23","ortodonziacrema.it","79","0.35","needs_verification","needs_verification","True","verification","verification","True","weak","commercially_coherent_verification","False","high_score_low_confidence_verification_ok"
"24","dentistacantu.it","59","0.58","watchlist","watchlist","True","none","none","True","weak","commercially_coherent_watchlist","False","none"
"25","clinicaodontoiatricarho.it","50","0.84","watchlist","watchlist","True","none","none","True","weak","commercially_coherent_watchlist","False","high_confidence_low_score_watchlist_ok"
