target_name,domain,city,province,region,category,source_url,source_type,initial_signals,reason_for_inclusion,dedupe_key,next_machine_action
Studio Dentistico Lecco,studiodentisticolecco.it,Lecco,LC,Lombardia,studio dentistico,https://studiodentisticolecco.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Lecco area",studiodentisticolecco.it,send domain to /v1/lead-opportunity-score
Studio Odontoiatrico Lecco,studioodontoiatricolecco.it,Lecco,LC,Lombardia,studio odontoiatrico,https://studioodontoiatricolecco.it/,official_site,"sector_match;local_market;business_domain_present","Odontoiatric practice domain in Lecco area",studioodontoiatricolecco.it,send domain to /v1/lead-opportunity-score
Centro Dentistico Lecco,centrodentisticolecco.it,Lecco,LC,Lombardia,centro dentistico,https://centrodentisticolecco.it/,official_site,"sector_match;local_market;business_domain_present","Dental center domain in Lecco area",centrodentisticolecco.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Merate,studiodentisticomerate.it,Merate,LC,Lombardia,studio dentistico,https://studiodentisticomerate.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Lecco province",studiodentisticomerate.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Mantova,studiodentisticomantova.it,Mantova,MN,Lombardia,studio dentistico,https://studiodentisticomantova.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Mantova area",studiodentisticomantova.it,send domain to /v1/lead-opportunity-score
Studio Odontoiatrico Mantova,studioodontoiatricomantova.it,Mantova,MN,Lombardia,studio odontoiatrico,https://studioodontoiatricomantova.it/,official_site,"sector_match;local_market;business_domain_present","Odontoiatric practice domain in Mantova area",studioodontoiatricomantova.it,send domain to /v1/lead-opportunity-score
Centro Dentistico Mantova,centrodentisticomantova.it,Mantova,MN,Lombardia,centro dentistico,https://centrodentisticomantova.it/,official_site,"sector_match;local_market;business_domain_present","Dental center domain in Mantova area",centrodentisticomantova.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Castiglione,studiodentisticocastiglione.it,Castiglione delle Stiviere,MN,Lombardia,studio dentistico,https://studiodentisticocastiglione.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Mantova province",studiodentisticocastiglione.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Cremona,studiodentisticocremona.it,Cremona,CR,Lombardia,studio dentistico,https://studiodentisticocremona.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Cremona area",studiodentisticocremona.it,send domain to /v1/lead-opportunity-score
Studio Odontoiatrico Cremona,studioodontoiatricocremona.it,Cremona,CR,Lombardia,studio odontoiatrico,https://studioodontoiatricocremona.it/,official_site,"sector_match;local_market;business_domain_present","Odontoiatric practice domain in Cremona area",studioodontoiatricocremona.it,send domain to /v1/lead-opportunity-score
Centro Dentistico Cremona,centrodentisticocremona.it,Cremona,CR,Lombardia,centro dentistico,https://centrodentisticocremona.it/,official_site,"sector_match;local_market;business_domain_present","Dental center domain in Cremona area",centrodentisticocremona.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Crema,studiodentisticocrema.it,Crema,CR,Lombardia,studio dentistico,https://studiodentisticocrema.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Cremona province",studiodentisticocrema.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Lodi,studiodentisticolodi.it,Lodi,LO,Lombardia,studio dentistico,https://studiodentisticolodi.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Lodi area",studiodentisticolodi.it,send domain to /v1/lead-opportunity-score
Studio Odontoiatrico Lodi,studioodontoiatricolodi.it,Lodi,LO,Lombardia,studio odontoiatrico,https://studioodontoiatricolodi.it/,official_site,"sector_match;local_market;business_domain_present","Odontoiatric practice domain in Lodi area",studioodontoiatricolodi.it,send domain to /v1/lead-opportunity-score
Centro Dentistico Lodi,centrodentisticolodi.it,Lodi,LO,Lombardia,centro dentistico,https://centrodentisticolodi.it/,official_site,"sector_match;local_market;business_domain_present","Dental center domain in Lodi area",centrodentisticolodi.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Codogno,studiodentisticocodogno.it,Codogno,LO,Lombardia,studio dentistico,https://studiodentisticocodogno.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Lodi province",studiodentisticocodogno.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Sondrio,studiodentisticosondrio.it,Sondrio,SO,Lombardia,studio dentistico,https://studiodentisticosondrio.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Sondrio area",studiodentisticosondrio.it,send domain to /v1/lead-opportunity-score
Studio Odontoiatrico Sondrio,studioodontoiatricosondrio.it,Sondrio,SO,Lombardia,studio odontoiatrico,https://studioodontoiatricosondrio.it/,official_site,"sector_match;local_market;business_domain_present","Odontoiatric practice domain in Sondrio area",studioodontoiatricosondrio.it,send domain to /v1/lead-opportunity-score
Centro Dentistico Sondrio,centrodentisticosondrio.it,Sondrio,SO,Lombardia,centro dentistico,https://centrodentisticosondrio.it/,official_site,"sector_match;local_market;business_domain_present","Dental center domain in Sondrio area",centrodentisticosondrio.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Morbegno,studiodentisticomorbegno.it,Morbegno,SO,Lombardia,studio dentistico,https://studiodentisticomorbegno.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Sondrio province",studiodentisticomorbegno.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Rho,studiodentisticorho.it,Rho,MI,Lombardia,studio dentistico,https://studiodentisticorho.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Milan metro area",studiodentisticorho.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Legnano,studiodentisticolegnano.it,Legnano,MI,Lombardia,studio dentistico,https://studiodentisticolegnano.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Milan province",studiodentisticolegnano.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Sesto,studiodentisticosesto.it,Sesto San Giovanni,MI,Lombardia,studio dentistico,https://studiodentisticosesto.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Milan metro area",studiodentisticosesto.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Cinisello,studiodentisticocinisello.it,Cinisello Balsamo,MI,Lombardia,studio dentistico,https://studiodentisticocinisello.it/,official_site,"sector_match;local_market;business_domain_present","Dental practice domain in Milan metro area",studiodentisticocinisello.it,send domain to /v1/lead-opportunity-score
