action_pack_gate_reason,city,confidence,decision,delivery_status,domain,index,next_product,order_intent_id,priority,product_code,province,quality_review_status,score,score_request_id,source_deep_order_intent_id,source_url,stage,status,target_name
,,,,,,,,ord_4469e748,,target_discovery,,,,,,,target_discovery,accepted_beta_order_intent,
,Milano,0.88,buy_deep_analysis,,studiodentisticocozzolino.it,1,deep_analysis,,high,,MI,not_applicable,77,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-001,,https://studiodentisticocozzolino.it/,score,,Studio Dentistico Cozzolino
,Milano,0.88,buy_deep_analysis,deep_analysis_ready,studiodentisticocozzolino.it,1,deep_analysis,ord_181d1a03,high,deep_analysis,MI,not_applicable,77,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-001,,https://studiodentisticocozzolino.it/,purchase,,Studio Dentistico Cozzolino
score below natural action threshold 80,Milano,0.88,buy_deep_analysis,,studiodentisticocozzolino.it,1,deep_analysis,,high,action_pack,MI,not_applicable,77,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-001,ord_181d1a03,https://studiodentisticocozzolino.it/,action_pack_not_bought,,Studio Dentistico Cozzolino
,Milano,0.67,buy_deep_analysis,,studiodentisticocavorretti.it,2,deep_analysis,,high,,MI,not_applicable,81,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-002,,https://studiodentisticocavorretti.it/,score,,Studio Dentistico Cavorretti
,Milano,0.67,buy_deep_analysis,deep_analysis_ready,studiodentisticocavorretti.it,2,deep_analysis,ord_fe76ebe2,high,deep_analysis,MI,not_applicable,81,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-002,,https://studiodentisticocavorretti.it/,purchase,,Studio Dentistico Cavorretti
confidence below natural action threshold 0.70,Milano,0.67,buy_deep_analysis,,studiodentisticocavorretti.it,2,deep_analysis,,high,action_pack,MI,not_applicable,81,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-002,ord_fe76ebe2,https://studiodentisticocavorretti.it/,action_pack_not_bought,,Studio Dentistico Cavorretti
,Milano,0.76,buy_deep_analysis,,studiodentisticocannizzo.it,3,deep_analysis,,high,,MI,not_applicable,80,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-003,,https://studiodentisticocannizzo.it/,score,,Studio Dentistico Cannizzo
,Milano,0.76,buy_deep_analysis,deep_analysis_ready,studiodentisticocannizzo.it,3,deep_analysis,ord_5430234a,high,deep_analysis,MI,not_applicable,80,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-003,,https://studiodentisticocannizzo.it/,purchase,,Studio Dentistico Cannizzo
"score, confidence, quality and deep analysis gates passed",Milano,0.76,buy_deep_analysis,action_pack_ready,studiodentisticocannizzo.it,3,deep_analysis,ord_b3fed868,high,action_pack,MI,not_applicable,80,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-003,ord_5430234a,https://studiodentisticocannizzo.it/,purchase,,Studio Dentistico Cannizzo
