action_pack_gate_reason,city,commercial_strength,confidence,decision,delivery_status,domain,index,next_product,order_intent_id,priority,product_code,province,quality_review_status,score,score_request_id,source_deep_order_intent_id,source_url,spend_policy,stage,status,target_name
,,,,,,,,,ord_735c58f2,,target_discovery,,,,,,,,target_discovery,accepted_beta_order_intent,
,Milano,medium,0.88,buy_deep_analysis,,studiodentisticocozzolino.it,1,deep_analysis,,high,,MI,not_applicable,77,target-discovery-100-dentists-lombardy-strength-gate-20260602-123027-1780396227-score-001,,https://studiodentisticocozzolino.it/,buy_low_or_mid_cost_next_step_only,score,,Studio Dentistico Cozzolino
,Milano,medium,0.88,buy_deep_analysis,deep_analysis_ready,studiodentisticocozzolino.it,1,deep_analysis,ord_3b1d6299,high,deep_analysis,MI,not_applicable,77,target-discovery-100-dentists-lombardy-strength-gate-20260602-123027-1780396227-score-001,,https://studiodentisticocozzolino.it/,buy_low_or_mid_cost_next_step_only,purchase,,Studio Dentistico Cozzolino
commercial strength is not strong enough for action pack,Milano,medium,0.88,buy_deep_analysis,,studiodentisticocozzolino.it,1,deep_analysis,,high,action_pack,MI,not_applicable,77,target-discovery-100-dentists-lombardy-strength-gate-20260602-123027-1780396227-score-001,ord_3b1d6299,https://studiodentisticocozzolino.it/,buy_low_or_mid_cost_next_step_only,action_pack_not_bought,,Studio Dentistico Cozzolino
,Milano,medium,0.67,buy_deep_analysis,,studiodentisticocavorretti.it,2,deep_analysis,,high,,MI,not_applicable,81,target-discovery-100-dentists-lombardy-strength-gate-20260602-123027-1780396227-score-002,,https://studiodentisticocavorretti.it/,buy_low_or_mid_cost_next_step_only,score,,Studio Dentistico Cavorretti
,Milano,medium,0.67,buy_deep_analysis,deep_analysis_ready,studiodentisticocavorretti.it,2,deep_analysis,ord_8d9859d8,high,deep_analysis,MI,not_applicable,81,target-discovery-100-dentists-lombardy-strength-gate-20260602-123027-1780396227-score-002,,https://studiodentisticocavorretti.it/,buy_low_or_mid_cost_next_step_only,purchase,,Studio Dentistico Cavorretti
commercial strength is not strong enough for action pack,Milano,medium,0.67,buy_deep_analysis,,studiodentisticocavorretti.it,2,deep_analysis,,high,action_pack,MI,not_applicable,81,target-discovery-100-dentists-lombardy-strength-gate-20260602-123027-1780396227-score-002,ord_8d9859d8,https://studiodentisticocavorretti.it/,buy_low_or_mid_cost_next_step_only,action_pack_not_bought,,Studio Dentistico Cavorretti
,Milano,strong,0.76,buy_deep_analysis,,studiodentisticocannizzo.it,3,deep_analysis,,high,,MI,not_applicable,80,target-discovery-100-dentists-lombardy-strength-gate-20260602-123027-1780396227-score-003,,https://studiodentisticocannizzo.it/,buy_deep_analysis_then_consider_action_pack_if_deep_confirms,score,,Studio Dentistico Cannizzo
,Milano,strong,0.76,buy_deep_analysis,deep_analysis_ready,studiodentisticocannizzo.it,3,deep_analysis,ord_71dc2b4,high,deep_analysis,MI,not_applicable,80,target-discovery-100-dentists-lombardy-strength-gate-20260602-123027-1780396227-score-003,,https://studiodentisticocannizzo.it/,buy_deep_analysis_then_consider_action_pack_if_deep_confirms,purchase,,Studio Dentistico Cannizzo
"score, confidence, quality and deep analysis gates passed",Milano,strong,0.76,buy_deep_analysis,action_pack_ready,studiodentisticocannizzo.it,3,deep_analysis,ord_acb399a6,high,action_pack,MI,not_applicable,80,target-discovery-100-dentists-lombardy-strength-gate-20260602-123027-1780396227-score-003,ord_71dc2b4,https://studiodentisticocannizzo.it/,buy_deep_analysis_then_consider_action_pack_if_deep_confirms,purchase,,Studio Dentistico Cannizzo
