action_pack_gate_reason,city,commercial_strength,confidence,decision,delivery_status,domain,index,next_product,order_intent_id,priority,product_code,province,quality_review_status,score,score_request_id,source_deep_order_intent_id,source_url,spend_policy,stage,status,target_name
,,,,,,,,,ord_4c360f00,,target_discovery,,,,,,,,target_discovery,accepted_beta_order_intent,
,Milano,medium,0.88,buy_deep_analysis,,studiodentisticocozzolino.it,1,deep_analysis,,high,,MI,not_applicable,77,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-001,,https://studiodentisticocozzolino.it/,buy_low_or_mid_cost_next_step_only,score,,Studio Dentistico Cozzolino
,Milano,medium,0.88,buy_deep_analysis,deep_analysis_ready,studiodentisticocozzolino.it,1,deep_analysis,ord_bdf4feb,high,deep_analysis,MI,not_applicable,77,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-001,,https://studiodentisticocozzolino.it/,buy_low_or_mid_cost_next_step_only,purchase,,Studio Dentistico Cozzolino
score below natural action threshold 80,Milano,medium,0.88,buy_deep_analysis,,studiodentisticocozzolino.it,1,deep_analysis,,high,action_pack,MI,not_applicable,77,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-001,ord_bdf4feb,https://studiodentisticocozzolino.it/,buy_low_or_mid_cost_next_step_only,action_pack_not_bought,,Studio Dentistico Cozzolino
,Milano,medium,0.67,buy_deep_analysis,,studiodentisticocavorretti.it,2,deep_analysis,,high,,MI,not_applicable,81,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-002,,https://studiodentisticocavorretti.it/,buy_low_or_mid_cost_next_step_only,score,,Studio Dentistico Cavorretti
,Milano,medium,0.67,buy_deep_analysis,deep_analysis_ready,studiodentisticocavorretti.it,2,deep_analysis,ord_8338631a,high,deep_analysis,MI,not_applicable,81,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-002,,https://studiodentisticocavorretti.it/,buy_low_or_mid_cost_next_step_only,purchase,,Studio Dentistico Cavorretti
confidence below natural action threshold 0.70,Milano,medium,0.67,buy_deep_analysis,,studiodentisticocavorretti.it,2,deep_analysis,,high,action_pack,MI,not_applicable,81,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-002,ord_8338631a,https://studiodentisticocavorretti.it/,buy_low_or_mid_cost_next_step_only,action_pack_not_bought,,Studio Dentistico Cavorretti
,Milano,strong,0.76,buy_deep_analysis,,studiodentisticocannizzo.it,3,deep_analysis,,high,,MI,not_applicable,80,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-003,,https://studiodentisticocannizzo.it/,buy_deep_analysis_then_consider_action_pack_if_deep_confirms,score,,Studio Dentistico Cannizzo
,Milano,strong,0.76,buy_deep_analysis,deep_analysis_ready,studiodentisticocannizzo.it,3,deep_analysis,ord_6118de2,high,deep_analysis,MI,not_applicable,80,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-003,,https://studiodentisticocannizzo.it/,buy_deep_analysis_then_consider_action_pack_if_deep_confirms,purchase,,Studio Dentistico Cannizzo
"score, confidence, quality and deep analysis gates passed",Milano,strong,0.76,buy_deep_analysis,action_pack_ready,studiodentisticocannizzo.it,3,deep_analysis,ord_82fb6750,high,action_pack,MI,not_applicable,80,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-003,ord_6118de2,https://studiodentisticocannizzo.it/,buy_deep_analysis_then_consider_action_pack_if_deep_confirms,purchase,,Studio Dentistico Cannizzo
,Milano,medium,0.87,nurture,,studiodottorpini.it,4,nurture_signal,,medium,,MI,not_applicable,74,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-004,,https://studiodottorpini.it/,buy_low_or_mid_cost_next_step_only,score,,Studio Dentistico Pini
,Milano,medium,0.87,nurture,nurture_signal_ready,studiodottorpini.it,4,nurture_signal,ord_ceb3ef1,medium,nurture_signal,MI,not_applicable,74,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-004,,https://studiodottorpini.it/,buy_low_or_mid_cost_next_step_only,purchase,,Studio Dentistico Pini
,Milano,weak,0.58,watchlist,,studiodentisticozambianchi.it,5,,,medium,,MI,not_applicable,64,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-005,,https://studiodentisticozambianchi.it/,watchlist_only,score,,Studio Dentistico Zambianchi
,Milano,medium,0.88,nurture,,studiobelloni.com,6,nurture_signal,,medium,,MI,not_applicable,69,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-006,,https://studiobelloni.com/,buy_low_or_mid_cost_next_step_only,score,,Studio Belloni
,Milano,medium,0.88,nurture,nurture_signal_ready,studiobelloni.com,6,nurture_signal,ord_b8f9c2be,medium,nurture_signal,MI,not_applicable,69,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-006,,https://studiobelloni.com/,buy_low_or_mid_cost_next_step_only,purchase,,Studio Belloni
,Milano,medium,0.52,nurture,,studiolombardo.srl,7,nurture_signal,,high,,MI,not_applicable,76,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-007,,https://studiolombardo.srl/,buy_low_or_mid_cost_next_step_only,score,,Studio Lombardo
,Milano,medium,0.52,nurture,nurture_signal_ready,studiolombardo.srl,7,nurture_signal,ord_da22ab6a,high,nurture_signal,MI,not_applicable,76,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-007,,https://studiolombardo.srl/,buy_low_or_mid_cost_next_step_only,purchase,,Studio Lombardo
,Milano,weak,0.52,watchlist,,studiodentisticosalvetti.it,8,,,medium,,MI,not_applicable,56,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-008,,https://studiodentisticosalvetti.it/,watchlist_only,score,,Studio Dentistico Salvetti
,Milano,medium,0.54,nurture,,studiodentisticodonati.eu,9,nurture_signal,,medium,,MI,not_applicable,70,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-009,,https://studiodentisticodonati.eu/,buy_low_or_mid_cost_next_step_only,score,,Studio Dentistico Donati
