target_name,domain,city,province,region,category,source_url,source_type,initial_signals,reason_for_inclusion,dedupe_key,next_machine_action
Studio Dentistico Cozzolino,studiodentisticocozzolino.it,Milano,MI,Lombardia,studio dentistico,https://studiodentisticocozzolino.it/,official_site,"sector_match;local_market;business_domain_present","Official dental practice domain in Milan area",studiodentisticocozzolino.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Cavorretti,studiodentisticocavorretti.it,Milano,MI,Lombardia,studio dentistico,https://studiodentisticocavorretti.it/,official_site,"sector_match;local_market;business_domain_present","Official dental practice domain in Milan area",studiodentisticocavorretti.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Cannizzo,studiodentisticocannizzo.it,Milano,MI,Lombardia,studio dentistico,https://studiodentisticocannizzo.it/,official_site,"sector_match;local_market;business_domain_present","Official dental practice domain in Milan area",studiodentisticocannizzo.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Pini,studiodottorpini.it,Milano,MI,Lombardia,studio dentistico,https://studiodottorpini.it/,official_site,"sector_match;local_market;business_domain_present","Official dental practice domain in Milan area",studiodottorpini.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Zambianchi,studiodentisticozambianchi.it,Milano,MI,Lombardia,studio dentistico,https://studiodentisticozambianchi.it/,official_site,"sector_match;local_market;business_domain_present","Official dental practice domain in Milan area",studiodentisticozambianchi.it,send domain to /v1/lead-opportunity-score
Studio Belloni,studiobelloni.com,Milano,MI,Lombardia,studio dentistico,https://studiobelloni.com/,official_site,"sector_match;local_market;business_domain_present","Official dental practice domain in Milan area",studiobelloni.com,send domain to /v1/lead-opportunity-score
Studio Lombardo,studiolombardo.srl,Milano,MI,Lombardia,studio dentistico,https://studiolombardo.srl/,official_site,"sector_match;local_market;business_domain_present","Official dental practice domain in Milan area",studiolombardo.srl,send domain to /v1/lead-opportunity-score
Studio Dentistico Salvetti,studiodentisticosalvetti.it,Milano,MI,Lombardia,studio dentistico,https://studiodentisticosalvetti.it/,official_site,"sector_match;local_market;business_domain_present","Official dental practice domain in Milan area",studiodentisticosalvetti.it,send domain to /v1/lead-opportunity-score
Studio Dentistico Donati,studiodentisticodonati.eu,Milano,MI,Lombardia,studio dentistico,https://studiodentisticodonati.eu/,official_site,"sector_match;local_market;business_domain_present","Official dental practice domain in Milan area",studiodentisticodonati.eu,send domain to /v1/lead-opportunity-score
Studio Dentistico Aiello,studiodentisticoaiello.it,Milano,MI,Lombardia,studio dentistico,https://studiodentisticoaiello.it/,official_site,"sector_match;local_market;business_domain_present","Official dental practice domain in Milan area",studiodentisticoaiello.it,send domain to /v1/lead-opportunity-score
Claradent,claradent.it,Milano,MI,Lombardia,clinica odontoiatrica,https://claradent.it/,official_site,"sector_match;local_market;business_domain_present","Dental clinic domain in Milan area",claradent.it,send domain to /v1/lead-opportunity-score
